name,id,status,external_id,source
SG: PlutoTV Category: Entertainment: DO,1162819,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: EC,1162820,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: ES,1192081,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: FI,1192087,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: FR,1186184,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: Global,1162811,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: GSA,1198032,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: GT,1162821,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: HN,1162822,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: IE,1253665,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: IT,1184856,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: LATAM,1198039,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: MX,1162823,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: NI,1162824,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: NO,1189776,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: PA,1162825,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: PE,1162826,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: PY,1162827,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: SE,1189777,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: SV,1162828,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: UK,1162830,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: US,1162812,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: UY,1162829,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Entertainment: VE,1162813,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Factual: AU,1238465,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Factual: Global,1238478,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: AR,1198041,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: AT,1198000,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: BO,1198067,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: CA,1163088,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: CH,1198001,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: CL,1198075,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: CO,1198083,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: CR,1198093,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: DE,1198002,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: DO,1198101,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: EC,1198109,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: FR,1163089,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: Global,1163087,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: GSA,1197999,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: GT,1198117,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: HN,1198125,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: LATAM,1198040,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: MX,1198133,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: NI,1198141,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: PA,1198149,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: PE,1198157,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: PY,1198165,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: SV,1198173,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: UY,1198181,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: French: VE,1198188,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: AR,1198043,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: AT,1191510,ACTIVE,,site_group_api_v4
SG: PlutoTV Category: Game Shows: AU,1247825,ACTIVE,,site_group_api_v4
