show,segment_name,segment_id,platform,region,source
,US-LR-DM-Bombora-B2B_Industry_TransportationTravel,1310832,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_Engineering,1310833,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_Operations,1310834,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_Sales,1310835,DDA,,audience_items
,US-LR-DM-Bombora-Entrepreneur,1310838,DDA,,audience_items
,US-LR-DM-ATVEXP-Occupation_SmallBusinessOwners,1310839,DDA,,audience_items
,US-LR-DM-Bombora-B2B_DecisionMakers_Finance,1310840,DDA,,audience_items
,US-LR-DM-Bombora-B2B_DecisionMakers_SmallBusiness,1310841,DDA,,audience_items
,US-LR-DM-Bombora-B2B_Industry_EnergyUtilitiesWaste,1310842,DDA,,audience_items
,US-LR-DM-Bombora-B2B_Industry_HospitalityHotels,1310843,DDA,,audience_items
,US-LR-DM-Bombora-B2B_Industry_Insurance,1310844,DDA,,audience_items
,US-LR-DM-Bombora-B2B_Industry_MediaInternet,1310845,DDA,,audience_items
,US-LR-DM-Bombora-B2B_Industry_RealEstate,1310846,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_IT,1310849,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_SoftwareDevelopers,1310850,DDA,,audience_items
,US-LR-DM-Bombora-JobFunction_WebDevelopment,1310851,DDA,,audience_items
,US-LR-DM-ATVEXP-GroceryPickUpandDelivery,1310852,DDA,,audience_items
,US-LR-DM-Epsilon-Back-to-SchoolShoppers,1310859,DDA,,audience_items
,US-LR-DM-Adstra-Tech_EarlyAdopter-Innovator,1310860,DDA,,audience_items
,US-LR-DM-Acxiom-GreenLiving,1310861,DDA,,audience_items
,US-LR-DM-IRI-BeautyMavens,1310863,DDA,,audience_items
,US-LR-DM-IRI-ConvenienceSeekers,1310864,DDA,,audience_items
,US-LR-DM-IRI-Nutritionist,1310865,DDA,,audience_items
,US-LR-DM-IRI-SweetTooth,1310867,DDA,,audience_items
,US-LR-DM-Asterisks-FTP,1310868,DDA,,audience_items
,US-LR-DM-Acxiom-Ethnicity_AA,1310869,DDA,,audience_items
,US-LR-DM-Acxiom-Ethnicity_Hispanic,1310870,DDA,,audience_items
,US-LR-DM-Acxiom-Veteran,1310871,DDA,,audience_items
,US-LR-DM-Acxiom-BuyVacation-SecondHome,1310872,DDA,,audience_items
,US-LR-DM-Acxiom-BuyFirstHome,1310873,DDA,,audience_items
,US-LR-DM-Acxiom-Military,1310874,DDA,,audience_items
,US-LR-DM-Adsquare-Employed,1310876,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-PreMovers,1310877,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-ActivelySeekingNewJob,1310878,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-MilitaryVeteran,1310879,DDA,,audience_items
,US-LR-DM-Acxiom-CountryMusicPerformances,1310880,DDA,,audience_items
,US-LR-DM-Acxiom-Interest_LiveTheater,1310881,DDA,,audience_items
,US-LR-DM-AcxiomUSMedia-Documentaries,1310882,DDA,,audience_items
,US-LR-DM-AcxiomUSMedia-GameShows,1310883,DDA,,audience_items
,US-LR-DM-AffinityAnswers-AwardShows,1310884,DDA,,audience_items
,US-LR-DM-Alliant-Movies_HarryPotter,1310886,DDA,,audience_items
,US-LR-DM-Alliant-Movies_MarvelComic,1310887,DDA,,audience_items
,US-LR-DM-Alliant-Movies_DCComics,1310888,DDA,,audience_items
,US-LR-DM-Alliant-SportsEnthusiasts,1310891,DDA,,audience_items
,US-LR-DM-Clickagy-Animation_Anime,1310892,DDA,,audience_items
,US-LR-DM-Comscore-Network_AE,1310894,DDA,,audience_items
,US-LR-DM-Comscore-Network_Bravo,1310897,DDA,,audience_items
,US-LR-DM-Comscore-Network_CBS,1310899,DDA,,audience_items
,US-LR-DM-Comscore-Network_Cinemax,1310901,DDA,,audience_items
,US-LR-DM-Comscore-Network_CMT,1310903,DDA,,audience_items
,US-LR-DM-Comscore-Network_ComedyCentral,1310905,DDA,,audience_items
,US-LR-DM-Comscore-Network_E,1310907,DDA,,audience_items
,US-LR-DM-Comscore-Network_ESPN,1310910,DDA,,audience_items
,US-LR-DM-Comscore-Network_FoodNetwork,1310912,DDA,,audience_items
,US-LR-DM-Comscore-Network_FX,1310914,DDA,,audience_items
,US-LR-DM-Comscore-Network_Golf,1310916,DDA,,audience_items
,US-LR-DM-Comscore-Network_HBO,1310918,DDA,,audience_items
,US-LR-DM-Comscore-Network_Showtime,1310919,DDA,,audience_items
,US-LR-DM-Comscore-Network_Paramount,1310920,DDA,,audience_items
,US-LR-DM-Comscore-Network_Syfy,1310922,DDA,,audience_items
,US-LR-DM-Comscore-Network_TNT,1310923,DDA,,audience_items
,US-LR-DM-Comscore-Network_VH1,1310925,DDA,,audience_items
,US-LR-DM-Comscore-SpanishLanguageTVWatchers,1310927,DDA,,audience_items
,US-LR-DM-ContextualGraph-FantasyMovies,1310929,DDA,,audience_items
,US-LR-DM-ContextualGraph-MusicTV,1310930,DDA,,audience_items
,US-LR-DM-Experian-FrequentMovieAttendee,1310931,DDA,,audience_items
,US-LR-DM-ATVEXP-MusicConcertsFestivals_HighSpenders,1310932,DDA,,audience_items
,US-LR-DM-UltimateData-ActionAdventureMovies,1310933,DDA,,audience_items
,US-LR-DM-UltimateData-ComedyMovies,1310934,DDA,,audience_items
,US-LR-DM-UltimateData-TVActionDrama,1310935,DDA,,audience_items
,US-LR-DM-UltimateData-FamilyFriendlyStreaming,1310936,DDA,,audience_items
,US-LR-DM-UltimateData-HomeImprovementDIY,1310937,DDA,,audience_items
,US-LR-DM-UltimateData-HorrorMovies,1310938,DDA,,audience_items
,US-LR-DM-UltimateData-MusicalDanceMovies,1310939,DDA,,audience_items
,US-LR-DM-UltimateData-PremiumChannels,1310940,DDA,,audience_items
,US-LR-DM-UltimateData-RealityTV,1310941,DDA,,audience_items
,US-LR-DM-UltimateData-RomanceMovies,1310942,DDA,,audience_items
,US-LR-DM-UltimateData-SciFiMovies,1310943,DDA,,audience_items
,US-LR-DM-Alliant-TV-Movies_Comedy,1310944,DDA,,audience_items
,US-LR-DM-Alliant-Genre_History,1310945,DDA,,audience_items
,US-LR-DM-Acxiom-Network_BET,1310946,DDA,,audience_items
,US-LR-DM-AffinityAnswers-MTV,1310947,DDA,,audience_items
,US-LR-DM-Acxiom-FightingTypeVideoGames,1310948,DDA,,audience_items
,US-LR-DM-Acxiom-TV_CollegeFootball,1310949,DDA,,audience_items
,US-LR-DM-Acxiom-PurchasedFinancialProductsForSmallBusiness,1310950,DDA,,audience_items
,US-LR-DM-Acxiom-Landlords,1310951,DDA,,audience_items
,US-LR-DM-Experian-TaxPreparationServicesBuyers,1310952,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_DiscretionarySpend_10000-24999,1310953,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_DiscretionarySpend_25000-49999,1310954,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_DiscretionarySpend_50000plus,1310955,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_DiscretionarySpend_5000-9999,1310956,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_InMarketAutoLoan,1310957,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_InMarketBankcardRevolving,1310958,DDA,,audience_items
,US-LR-DM-ATVEXP-LoyalRewardsEnthusiastLowCCBalance,1310959,DDA,,audience_items
,US-LR-DM-Experian-NetWorth_100000-249999,1310960,DDA,,audience_items
,US-LR-DM-Experian-NetWorth_250000-499999,1310961,DDA,,audience_items
,US-LR-DM-Experian-NetWorth_500000-749999,1310962,DDA,,audience_items
,US-LR-DM-Experian-NetWorth_750000-999999,1310963,DDA,,audience_items
,US-LR-DM-ATVEXP-Finance_NetWorth_1Mplus,1310964,DDA,,audience_items
,US-LR-DM-ATVEXP-FinancialBehavior_SmartInvestors,1310966,DDA,,audience_items
,US-LR-DM-ATVEXP-InvestmentLeaders,1310967,DDA,,audience_items
,US-LR-DM-Clickagy-Amusement-ThemeParks,1311004,DDA,,audience_items
,US-LR-DM-AuDigent-Travel_FamilyVacationers,1311005,DDA,,audience_items
,US-LR-DM-Claritas-PlanToTravelToFlorida,1311006,DDA,,audience_items
,US-LR-DM-AuDigent-TripsToCalifornia,1311007,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-TravelInterest_Domestic,1311008,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-TravelInterest_International,1311011,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-TravelIntenders_Luxury,1311013,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-TravelLikely_Next3mth,1311014,DDA,,audience_items
,US-LR-DM-AnalyticsIQ-PostponedTravel,1311016,DDA,,audience_items
,US-LR-DM-Alliant-LuxuryHotelVisitors_Propensity,1311017,DDA,,audience_items
,US-LR-DM-Alliant-EconomyHotelVisitors_Propensity,1311018,DDA,,audience_items
,US-LR-DM-Acxiom-Travel_Golfing,1311019,DDA,,audience_items
,US-LR-DM-Acxiom-Travel_AmusementParks,1311020,DDA,,audience_items
,US-LR-DM-Epsilon-CasinoVacationers,1311022,DDA,,audience_items
,US-LR-DM-Experian-Recent_CordCutters,1311023,DDA,,audience_items
