segment_name,structure
AU - DWH - 10 - ID - Summit - Content - Being Human US watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Blue Bloods watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Bondi Rescue watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Britains Outlaws Highwaymen Pirates and Rogues watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Broadchurch watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Build A New Life In The Country watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Building The Dream watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Bull watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Celebrity Race Across The World watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Charmed watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Coasts Rolling With The Waves watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Continuum watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Dallas Cowboys Cheerleaders Making The Team watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Damages watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Daria watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - David Attenboroughs Parenthood watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Days Of Our Lives Fast Tracked watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Deadly Women watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Deal Or No Deal watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Dessert Masters watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Diagnosis Murder watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Drunk History UK watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Elsbeth watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Entertainment Tonight watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - FBI watchers APAC,AU-DWH-Summit
AU - DWH - 10 - ID - Summit - Content - Fake watchers APAC,AU-DWH-Summit
