name,id,status,source
Super Bowl 58 Interactive Companion,67185,ACTIVE,ad_unit_api_v4
Trial_Sub_Mid_Roll_1,68307,ACTIVE,ad_unit_api_v4
Trial_Sub_Mid_Roll_3,68308,ACTIVE,ad_unit_api_v4
TrueX_Mid_Roll,61106,ACTIVE,ad_unit_api_v4
TrueX_Pre_Roll,61105,ACTIVE,ad_unit_api_v4
UFC BrightLine Companion,75655,ACTIVE,ad_unit_api_v4
UFC MIdroll,74112,IN_ACTIVE,ad_unit_api_v4
US_Preroll_Live,73308,ACTIVE,ad_unit_api_v4
Viacom_Content_Bumper,61104,ACTIVE,ad_unit_api_v4
Viacom_LinearSkippable,63672,ACTIVE,ad_unit_api_v4
Viacom_Movie Promo_Pre_Roll,72136,ACTIVE,ad_unit_api_v4
Viacom_NickJR_Promo_Pre_Roll,61121,ACTIVE,ad_unit_api_v4
Viacom_Promo_Mid_Roll,61118,ACTIVE,ad_unit_api_v4
Viacom_Promo_Pre_Roll,61113,ACTIVE,ad_unit_api_v4
ViacomCBS_BrandBumper_Pre_Roll,61646,IN_ACTIVE,ad_unit_api_v4
ViacomCBS_Kids_Promo_Mid_Roll,61157,ACTIVE,ad_unit_api_v4
ViacomCBS_Kids_Promo_Pre_Roll,61156,ACTIVE,ad_unit_api_v4
ViacomCBS_Sponsor Billboard_Pre_Roll,61103,ACTIVE,ad_unit_api_v4
ViacomCBS_Sponsored Billboard_Mid_Roll,61109,ACTIVE,ad_unit_api_v4
Video Overlay,61114,ACTIVE,ad_unit_api_v4
